Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
05/05/2024,DODG,LL,TK,SIL,,IL,10300 S. Doty,(773) 568-8495,2968877
03/21/2024,TOYT,PK,,WHI,KHA4358,NC,701 N. Sacramento,(773) 265-7605,7086468
04/27/2024,FORD,VN,,WHI,3241463B,IL,10300 S. Doty,(773) 568-8495,2968543
05/17/2024,KIA,4D,,WHI,BC48808,IL,400 E. Lower Wacker,(312) 744-7550,0303085
02/23/2024,MITS,4D,,MAR,EH30134,IL,701 N. Sacramento,(773) 265-7605,7083473
04/05/2024,TOYT,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7087953
05/17/2024,JEEP,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2969313
03/18/2024,MAZD,4D,,DBL,912AB936,IL,701 N. Sacramento,(773) 265-7605,7086294
05/05/2024,NISS,LL,TK,GRY,DZ27454,IL,10300 S. Doty,(773) 568-8495,2968879
04/05/2024,HOND,4D,,GRN,,IL,701 N. Sacramento,(773) 265-7605,7087954
04/18/2024,TOYT,4D,,GRN,3159792,IL,10300 S. Doty,(773) 568-8495,2968220
05/18/2024,MITS,4D,,BLK,CS20831,IL,701 N. Sacramento,(773) 265-7605,7091047
05/17/2024,FORD,PK,,WHI,2825199B,IL,10300 S. Doty,(773) 568-8495,2969311
03/18/2024,NISS,4D,,RED,DZ21171,IL,701 N. Sacramento,(773) 265-7605,7086296
05/05/2024,HYUN,4D,,GRY,CZ86863,IL,10300 S. Doty,(773) 568-8495,2968878
04/21/2024,CHEV,4D,,GRY,CZ36389,IL,10300 S. Doty,(773) 568-8495,2968343
03/26/2024,HOND,LL,,BRZ,EK79486,IL,400 E. Lower Wacker,(312) 744-7550,0299757
04/21/2024,JEEP,LL,,DBL,S495877,IN,10300 S. Doty,(773) 568-8495,2968344
05/01/2024,MAZD,4D,,GRY,AR21337,IL,701 N. Sacramento,(773) 265-7605,7089813
04/23/2024,CHEV,4D,,SIL,CU36971,IL,701 N. Sacramento,(773) 265-1846,1547310
03/16/2024,TOYT,VN,TK,BLU,BA47910,IL,701 N. Sacramento,(773) 265-7605,7085859
04/02/2024,VOLK,4D,,WHI,DH74822,IL,10300 S. Doty,(773) 568-8495,0300166
05/01/2024,VOLK,LL,,GRY,,,701 N. Sacramento,(773) 265-7605,7089812
04/05/2024,BUIC,4D,,TAN,DM37390,IL,10300 S. Doty,(773) 568-8495,2967711
03/23/2024,CHEV,LL,,GRY,DK65093,IL,10300 S. Doty,(773) 568-8495,2967008
05/01/2024,TOYT,4D,,WHI,,,701 N. Sacramento,(773) 265-7605,7089809
03/18/2024,KIA,4D,,WHI,,,10300 S. Doty,(773) 568-8495,2966666
03/11/2024,YAMA,MC,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7085347
05/17/2024,CADI,LL,,RED,DV28218,IL,10300 S. Doty,(773) 568-8495,2969318
05/09/2024,JEEP,LL,,RED,EL39648,IL,10300 S. Doty,(773) 568-8495,2969007
05/10/2024,CHEV,LL,,BLK,Y886185,IL,701 N. Sacramento,(773) 265-7605,7090483
05/09/2024,TOYT,LK,,BLU,DU55809,IL,10300 S. Doty,(773) 568-8495,2969006
04/23/2024,CHEV,4D,,SIL,CU36971,IL,701 N. Sacramento,(773) 265-1846,1547310
02/23/2024,JEEP,LL,TK,BLK,AZ75368,IL,701 N. Sacramento,(773) 265-7605,7083472
02/23/2024,DODG,4T,,ONG,,IL,701 N. Sacramento,(773) 265-7605,7083471
04/07/2024,FORD,4D,,GRY,AKY4070,WI,400 E. Lower Wacker,(312) 744-7550,0300476
05/01/2024,FORD,LL,,BLU,DV70029,IL,10300 S. Doty,(773) 785-9752,1726283
05/10/2024,JEEP,LL,,WHI,347CVK,IN,10300 S. Doty,(773) 568-8495,2969049
05/09/2024,DODG,LL,,GRY,EF60457,IL,701 N. Sacramento,(773) 265-7605,7090410
04/07/2024,ACUR,4D,,GRY,N135384,IL,400 E. Lower Wacker,(312) 744-7550,0300483
04/13/2024,NISS,4D,,BLK,EB96965,IL,701 N. Sacramento,(773) 265-7605,7088556
04/23/2024,FORD,4D,,BLK,,IL,701 N. Sacramento,(773) 265-1846,1547309
05/09/2024,CHEV,4D,,MAR,,IL,10300 S. Doty,(773) 568-8495,2969008
05/07/2024,MAZD,LL,,BLU,BN30744,IL,701 N. Sacramento,(773) 265-7605,7090299
05/07/2024,GMC,LL,,WHI,TK358NQC,IN,701 N. Sacramento,(773) 265-1846,1547383
05/01/2024,VOLK,4D,,GRY,ER23193,IL,10300 S. Doty,(773) 568-8495,2968678
05/18/2024,LAND,4D,,BLK,P926380,IL,701 N. Sacramento,(773) 265-7605,7091049
04/11/2024,CHEV,4D,,TAN,CR38067,IL,10300 S. Doty,(773) 568-8495,2967932
03/18/2024,DODG,LL,DUR,BLU,,,10300 S. Doty,(773) 568-8495,2966665
04/15/2024,VOLV,LL,,BLK,DPH231,MN,400 E. Lower Wacker,(312) 744-7550,0301027
05/09/2024,CHEV,4D,,GRY,CT36186,IL,701 N. Sacramento,(773) 265-7605,7090412
04/13/2024,JEEP,LL,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7088555
05/15/2024,VOLK,4D,,GRY,59DUSU,FL,701 N. Sacramento,(773) 265-7605,7090802
05/18/2024,NISS,4D,,RED,DA65514,IL,701 N. Sacramento,(773) 265-7605,7091048
05/18/2024,BMW,4D,,GLD,DV52405,IL,701 N. Sacramento,(773) 265-7605,7091031
04/22/2024,LEXS,4D,,GRY,AL93008,IL,701 N. Sacramento,(773) 265-7605,7089177
03/14/2024,MERZ,4D,,,DD18673,IL,701 N. Sacramento,(773) 265-7605,7085672
