cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,desccription,year,value,mode,chained_value,estimate_actual,deflator
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2010,190000000,General,217712642.2,Actual,89.756
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2011,105000000,General,115132841.4,Actual,92.191
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2012,99000000,General,104568259.8,Actual,92.944
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2013,168000000,General,173437258,Actual,94.354
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2014,158000000,General,161009263.1,Actual,96.197
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2015,141000000,General,144979692.6,Actual,97.039
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2016,148000000,General,152253976.1,Actual,97.996
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2017,122000000,General,122000000,Actual,100
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2018,241000000,General,230584498.2,Actual,102.965
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2019,132000000,General,124297296.5,Actual,104.87
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2020,136000000,General,127484064.5,Actual,105.425
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2021,183000000,General,157768141.2,Actual,108.67
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for OST nonmodal outlays,2022,93000000,General,72977808.47,Actual,114.265
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2010,86000000,General,98543617.01,Actual,89.756
